video_id,TaxonName,LifeForm,PresentStatus,word,category,time_period,created_at
video_015661,Dryocosmus kuriphilus,Insects,alien,plaga,Invasion,Post-Introduction,2021-07-13T07:00:12Z
video_015661,Dryocosmus kuriphilus,Insects,alien,observado,Detection,Post-Introduction,2021-07-13T07:00:12Z
video_001181,Dryocosmus kuriphilus,Insects,alien,control,Detection,Post-Introduction,2021-04-24T22:20:26Z
video_009138,Dryocosmus kuriphilus,Insects,alien,plagas,Invasion,Post-Introduction,2021-04-12T20:23:55Z
video_009138,Dryocosmus kuriphilus,Insects,alien,controlada,Detection,Post-Introduction,2021-04-12T20:23:55Z
video_013402,Dryocosmus kuriphilus,Insects,alien,pandemia,Threat,Post-Introduction,2021-05-31T20:46:36Z
video_000535,Dryocosmus kuriphilus,Insects,alien,plaga,Invasion,Post-Introduction,2024-05-07T10:54:58Z
video_000460,Dryocosmus kuriphilus,Insects,alien,plagas,Invasion,Post-Introduction,2021-05-17T20:27:37Z
video_000460,Dryocosmus kuriphilus,Insects,alien,controlada,Detection,Post-Introduction,2021-05-17T20:27:37Z
video_016223,Dryocosmus kuriphilus,Insects,alien,perigo,Threat,Post-Introduction,2017-05-20T18:43:29Z
video_016223,Dryocosmus kuriphilus,Insects,alien,ataca,Threat,Post-Introduction,2017-05-20T18:43:29Z
video_005715,Elanoides forficatus,Birds,casual,avistamiento,Detection,Post-Introduction,2023-01-03T10:31:57Z
video_009395,Eupsittula pertinax,Birds,alien,cara,eCommerce,Post-Introduction,2011-09-28T02:06:21Z
video_014659,Glycaspis brimblecombei,Insects,established,plaga,Invasion,Post-Introduction,2011-06-19T23:09:17Z
video_006654,Glycaspis brimblecombei,Insects,established,plaga,Invasion,Post-Introduction,2024-10-23T11:00:32Z
video_008441,Glycaspis brimblecombei,Insects,established,plaga,Invasion,Post-Introduction,2014-06-22T22:52:22Z
video_016179,Glycaspis brimblecombei,Insects,established,plaga,Invasion,Post-Introduction,2014-06-28T11:03:00Z
video_014861,Graptemys pseudogeographica,Herptiles,established,vendidas,eCommerce,Post-Introduction,2020-04-26T13:42:59Z
video_014861,Graptemys pseudogeographica,Herptiles,established,mascota,eCommerce,Post-Introduction,2020-04-26T13:42:59Z
video_015202,Graptemys pseudogeographica,Herptiles,established,aquario,eCommerce,Post-Introduction,2016-04-10T09:16:41Z
video_000548,Graptemys pseudogeographica,Herptiles,established,aquario,eCommerce,Post-Introduction,2015-12-19T17:51:09Z
video_009670,Grus canadensis,Birds,casual,vistas,Detection,Post-Introduction,2023-08-23T09:22:49Z
video_011123,Grus canadensis,Birds,casual,extincao,Threat,Post-Introduction,2024-11-10T23:07:54Z
video_015965,Haemorhous mexicanus,Birds,casual,vista,Detection,Post-Introduction,2020-02-28T22:43:26Z
video_011797,Haemorhous mexicanus,Birds,casual,reciente,Detection,Post-Introduction,2024-02-26T17:00:35Z
video_005236,Haliaeetus leucocephalus,Birds,casual,cetreria,eCommerce,Post-Introduction,2011-06-09T18:04:49Z
video_001702,Haliaeetus leucocephalus,Birds,casual,cetreria,eCommerce,Post-Introduction,2017-06-06T09:55:50Z
video_015174,Haliaeetus leucocephalus,Birds,casual,capturar,Detection,Post-Introduction,2024-07-21T19:20:00Z
video_014365,Haliaeetus leucocephalus,Birds,casual,jaula,eCommerce,Post-Introduction,2024-12-27T14:00:52Z
video_014869,Haliaeetus leucocephalus,Birds,casual,peligro,Threat,Post-Introduction,2018-01-10T09:53:54Z
video_014869,Haliaeetus leucocephalus,Birds,casual,extincion,Threat,Post-Introduction,2018-01-10T09:53:54Z
video_004588,Haliaeetus leucocephalus,Birds,casual,avistamiento,Detection,Post-Introduction,2020-12-28T20:19:35Z
video_005001,Halyomorpha halys,Insects,alien,plagas,Invasion,Post-Introduction,2024-10-15T13:08:25Z
video_005001,Halyomorpha halys,Insects,alien,plaga,Invasion,Post-Introduction,2024-10-15T13:08:25Z
video_005001,Halyomorpha halys,Insects,alien,establecido,Invasion,Post-Introduction,2024-10-15T13:08:25Z
video_009229,Halyomorpha halys,Insects,alien,invasora,Invasion,Post-Introduction,2022-11-04T16:57:36Z
video_016172,Halyomorpha halys,Insects,alien,plaga,Invasion,Post-Introduction,2021-02-24T09:52:28Z
video_012054,Halyomorpha halys,Insects,alien,plaga,Invasion,Pre-Introduction,2011-11-30T15:13:50Z
video_001617,Halyomorpha halys,Insects,alien,seguimiento,Detection,Post-Introduction,2020-08-20T19:18:46Z
video_001617,Halyomorpha halys,Insects,alien,invasoras,Invasion,Post-Introduction,2020-08-20T19:18:46Z
video_001617,Halyomorpha halys,Insects,alien,invasora,Invasion,Post-Introduction,2020-08-20T19:18:46Z
video_003379,Halyomorpha halys,Insects,alien,control,Detection,Post-Introduction,2019-09-16T08:51:09Z
video_003379,Halyomorpha halys,Insects,alien,plagas,Invasion,Post-Introduction,2019-09-16T08:51:09Z
video_004285,Halyomorpha halys,Insects,alien,plaga,Invasion,Post-Introduction,2021-11-12T12:27:11Z
video_012553,Lagocephalus sceleratus,Fishes,uncertain,peligroso,Threat,Post-Introduction,2025-04-22T18:00:52Z
video_012553,Lagocephalus sceleratus,Fishes,uncertain,toxico,Threat,Post-Introduction,2025-04-22T18:00:52Z
video_012553,Lagocephalus sceleratus,Fishes,uncertain,invasor,Invasion,Post-Introduction,2025-04-22T18:00:52Z
video_012553,Lagocephalus sceleratus,Fishes,uncertain,peligrosa,Threat,Post-Introduction,2025-04-22T18:00:52Z
video_013432,Lasius neglectus,Insects,established,invasoras,Invasion,Post-Introduction,2025-05-14T09:00:56Z
video_000082,Lepisiota capensis,Insects,established,adopcion,eCommerce,Post-Introduction,2019-09-20T21:13:26Z
video_000082,Lepisiota capensis,Insects,established,adoptar,eCommerce,Post-Introduction,2019-09-20T21:13:26Z
video_003701,Leptoglossus occidentalis,Insects,alien,plaga,Invasion,Post-Introduction,2018-09-20T06:32:42Z
video_003701,Leptoglossus occidentalis,Insects,alien,reciente,Detection,Post-Introduction,2018-09-20T06:32:42Z
video_009365,Leptoglossus occidentalis,Insects,alien,invasoras,Invasion,Post-Introduction,2020-05-23T16:20:21Z
video_004351,Leptoglossus occidentalis,Insects,alien,avistado,Detection,Post-Introduction,2024-03-09T18:39:22Z
video_004014,Leptoglossus occidentalis,Insects,alien,control,Detection,Post-Introduction,2023-03-06T15:00:17Z
video_003538,Leptoglossus occidentalis,Insects,alien,invasor,Invasion,Post-Introduction,2024-07-29T18:00:05Z
video_014710,Leuciscus aspius,Fishes,established,aparecido,Detection,Post-Introduction,2020-05-29T19:26:15Z
video_008798,Leuciscus aspius,Fishes,established,capturar,Detection,Post-Introduction,2023-02-17T20:35:09Z
video_004963,Leuciscus aspius,Fishes,established,descubiertos,Detection,Pre-Introduction,2014-11-17T12:54:52Z
video_003192,Lonchura oryzivora,Birds,alien,jaula,eCommerce,Post-Introduction,2015-07-21T14:58:23Z
video_007557,Mauremys reevesii,Herptiles,alien,acuario,eCommerce,Post-Introduction,2017-11-27T14:57:58Z
video_006937,Mauremys reevesii,Herptiles,alien,acuario,eCommerce,Post-Introduction,2018-07-01T11:19:26Z
video_012569,Mauremys sinensis,Herptiles,alien,terrario,eCommerce,Post-Introduction,2017-12-10T07:57:54Z
video_002932,Mauremys sinensis,Herptiles,alien,exotica,Invasion,Post-Introduction,2023-05-24T21:54:15Z
video_004719,Mnemiopsis leidyi,Non-arthropod invertebrates,established,invasor,Invasion,Post-Introduction,2013-11-12T08:47:33Z
video_006319,Mnemiopsis leidyi,Non-arthropod invertebrates,established,aparicion,Detection,Post-Introduction,2016-07-30T23:19:43Z
video_014352,Mnemiopsis leidyi,Non-arthropod invertebrates,established,invasora,Invasion,Post-Introduction,2025-05-30T18:30:18Z
video_006309,Paratrechina jaegerskioeldi,Insects,established,manejo,Detection,Post-Introduction,2021-01-28T21:43:25Z
video_006309,Paratrechina jaegerskioeldi,Insects,established,invasora,Invasion,Post-Introduction,2021-01-28T21:43:25Z
video_006309,Paratrechina jaegerskioeldi,Insects,established,nativa,Invasion,Post-Introduction,2021-01-28T21:43:25Z
video_012470,Paratrechina jaegerskioeldi,Insects,established,encontre,Detection,Post-Introduction,2019-06-27T14:42:38Z
video_011561,Pelodiscus sinensis,Herptiles,alien,acuario,eCommerce,Pre-Introduction,2008-02-17T20:35:20Z
video_011518,Perca fluviatilis,Fishes,established,captura,Detection,Post-Introduction,2019-05-09T09:22:53Z
video_010293,Perca fluviatilis,Fishes,established,capturas,Detection,Post-Introduction,2019-09-24T20:09:55Z
video_000305,Perca fluviatilis,Fishes,established,captura,Detection,Post-Introduction,2020-05-01T15:13:54Z
video_007453,Perca fluviatilis,Fishes,established,encontramos,Detection,Post-Introduction,2020-09-25T13:00:33Z
video_010544,Pheidole indica,Insects,established,ataca,Threat,Post-Introduction,2022-07-05T20:02:21Z
video_005234,Phthorimaea absoluta,Insects,established,controlar,Detection,Post-Introduction,2023-07-18T16:00:20Z
video_005234,Phthorimaea absoluta,Insects,established,dinero,eCommerce,Post-Introduction,2023-07-18T16:00:20Z
video_008202,Phthorimaea absoluta,Insects,established,ataca,Threat,Post-Introduction,2017-07-27T10:15:07Z
video_015374,Phthorimaea absoluta,Insects,established,control,Detection,Post-Introduction,2020-09-02T17:16:40Z
video_009377,Phthorimaea absoluta,Insects,established,plaga,Invasion,Post-Introduction,2013-12-10T10:09:24Z
video_010258,Phthorimaea absoluta,Insects,established,trampa,Detection,Post-Introduction,2017-05-17T10:58:45Z
video_010258,Phthorimaea absoluta,Insects,established,plaga,Invasion,Post-Introduction,2017-05-17T10:58:45Z
video_000107,Phthorimaea absoluta,Insects,established,control,Detection,Post-Introduction,2025-06-14T04:31:07Z
video_000107,Phthorimaea absoluta,Insects,established,trampas,Detection,Post-Introduction,2025-06-14T04:31:07Z
video_006841,Phthorimaea absoluta,Insects,established,plaga,Invasion,Post-Introduction,2021-11-10T16:30:02Z
video_010587,Phthorimaea absoluta,Insects,established,manejo,Detection,Post-Introduction,2024-04-16T10:44:21Z
video_000426,Phthorimaea absoluta,Insects,established,plaga,Invasion,Post-Introduction,2024-05-18T12:00:03Z
video_010528,Phthorimaea absoluta,Insects,established,trampa,Detection,Post-Introduction,2015-08-18T04:30:00Z
video_005889,Phthorimaea absoluta,Insects,established,trampas,Detection,Post-Introduction,2019-02-25T10:30:57Z
video_005089,Phthorimaea absoluta,Insects,established,trampa,Detection,Post-Introduction,2019-03-04T17:01:32Z
video_005089,Phthorimaea absoluta,Insects,established,trampas,Detection,Post-Introduction,2019-03-04T17:01:32Z
video_006510,Phthorimaea absoluta,Insects,established,trampa,Detection,Post-Introduction,2023-08-11T13:13:01Z
video_012787,Phthorimaea absoluta,Insects,established,plaga,Invasion,Post-Introduction,2021-06-19T16:02:51Z
video_012579,Phthorimaea absoluta,Insects,established,control,Detection,Post-Introduction,2021-03-05T18:01:10Z
video_013154,Phthorimaea absoluta,Insects,established,trampas,Detection,Post-Introduction,2025-07-02T18:00:06Z
video_012355,Phthorimaea absoluta,Insects,established,controlar,Detection,Post-Introduction,2022-01-18T16:14:00Z
video_012355,Phthorimaea absoluta,Insects,established,plaga,Invasion,Post-Introduction,2022-01-18T16:14:00Z
video_012355,Phthorimaea absoluta,Insects,established,trampa,Detection,Post-Introduction,2022-01-18T16:14:00Z
video_014218,Phthorimaea absoluta,Insects,established,control,Detection,Post-Introduction,2018-10-11T13:24:28Z
video_014218,Phthorimaea absoluta,Insects,established,plagas,Invasion,Post-Introduction,2018-10-11T13:24:28Z
